Configuration,Accuracy(%),Features,FAR(%),FRR(%),HTER(%)
"R=1,2,4",98.33,62,0.00,9.09,4.55
"R=1,4",97.92,44,0.00,11.36,5.68
"R=1,2",97.50,28,0.00,13.64,6.82
"R=1,2,3,4",97.50,88,0.00,13.64,6.82
"R=1,3",97.08,36,0.00,15.91,7.95
"R=2,4",97.08,52,0.00,15.91,7.95
"R=1,3,4",96.67,70,0.00,18.18,9.09
R=2 only,96.25,18,0.00,20.45,10.23
"R=2,3",96.25,44,0.51,18.18,9.35
"R=1,2,3",96.25,54,0.00,20.45,10.23
"R=2,3,4",96.25,78,0.51,18.18,9.35
R=1 only,95.42,10,0.51,22.73,11.62
"R=3,4",95.00,60,0.51,25.00,12.76
R=3 only,94.17,26,2.04,22.73,12.38
R=4 only,93.33,34,0.51,34.09,17.30
