epoch,train_loss,train_acc,val_loss,val_acc,val_acc_baseline,val_acc_texture,val_acc_frequency
1,0.20814193471481926,1.0,0.3361002933979034,0.989375,0.9475,0.999375,0.968125
2,0.20760072924588857,1.0,0.3361457353830338,0.989375,0.9475,0.999375,0.968125
3,0.20714082608097478,1.0,0.33617365777492525,0.989375,0.9475,0.999375,0.968125
4,0.2071014509389275,1.0,0.33620179653167725,0.989375,0.9475,0.999375,0.968125
5,0.20680030200042224,1.0,0.3361793828010559,0.989375,0.9475,0.999375,0.968125
6,0.20676102057883614,1.0,0.33615263044834137,0.989375,0.9475,0.999375,0.968125
7,0.20671789426552623,1.0,0.3361080825328827,0.989375,0.9475,0.999375,0.968125
8,0.20670623214621292,1.0,0.33605902791023257,0.989375,0.9475,0.999375,0.968125
9,0.20666596764012388,1.0,0.33598629415035247,0.989375,0.9475,0.999375,0.968125
10,0.2066668577884373,1.0,0.33592150449752806,0.989375,0.9475,0.999375,0.968125
11,0.20661868311856924,1.0,0.3358311349153519,0.989375,0.9475,0.999375,0.968125
12,0.20658930900849795,1.0,0.33574006021022795,0.989375,0.9475,0.999375,0.968125
13,0.20655892279587293,1.0,0.3356619316339493,0.989375,0.9475,0.999375,0.968125
14,0.20667367310900436,1.0,0.3355788964033127,0.989375,0.9475,0.999375,0.968125
15,0.20648028544689478,1.0,0.33543389678001406,0.99,0.9475,0.999375,0.968125
16,0.20644428737853704,1.0,0.33532750070095063,0.99,0.9475,0.999375,0.968125
17,0.20639530177179136,1.0,0.3352222365140915,0.99,0.9475,0.999375,0.968125
18,0.20664104936938538,1.0,0.33511739552021025,0.99,0.9475,0.999375,0.968125
19,0.2063176404488714,1.0,0.33496545135974887,0.99,0.9475,0.999375,0.968125
20,0.2063143492529267,1.0,0.3348605597019196,0.99,0.9475,0.999375,0.968125
